028	1942-02-01	ДА	КФ	39 армия	103 огв. мдн
028	1942-02-01	ДА	КФ	39 армия	202 огв. мдн
028	1942-02-01	ДА	КФ	39 армия	3 гв. тбр
028	1942-02-01	ДА	КФ	39 армия	148 отб
028	1942-02-01	ДА	КФ	39 армия	159 отб
028	1942-02-01	ДА	КФ	39 армия	165 отб
028	1942-02-01	ДА	КФ	39 армия	31 сад
028	1942-02-01	ДА	КФ	39 армия	39 оиб
029	1942-02-01	ДА	КФ	2 гв. ск
029	1942-02-01	ДА	КФ	8 гв. сд
029	1942-02-01	ДА	КФ	37 сбр
029	1942-02-01	ДА	КФ	38 сбр
029	1942-02-01	ДА	КФ	212 олыжб
029	1942-02-01	ДА	КФ	213 олыжб
029	1942-02-01	ДА	КФ	214 олыжб
029	1942-02-01	ДА	КФ	2 гв. мсд
029	1942-02-01	ДА	КФ	18 кд
029	1942-02-01	ДА	КФ	24 кд
029	1942-02-01	ДА	КФ	82 кд
029	1942-02-01	ДА	КФ	879 ап
029	1942-02-01	ДА	КФ	164 минп
029	1942-02-01	ДА	КФ	12 озадн
029	1942-02-01	ДА	КФ	21 озадн
029	1942-02-01	ДА	КФ	64 озадн
029	1942-02-01	ДА	КФ	221 озадн
029	1942-02-01	ДА	КФ	245 озадн
